DL Lesson	Simplified Chinese	Selected Pinyin	Simple English Definition	Clean CC-CEDICT English definition
Greeting 1	你	nǐ	you	you (informal, as opposed to courteous 您)
Greeting 1	好	hǎo	good	good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms || to be fond of / to have a tendency to / to be prone to
Greeting 1	再见	zài jiàn	goodbye	goodbye / see you again later
Greeting 1	再	zài	again	again / once more / re- / second / another / then (after sth, and not until then)
Greeting 1	见	jiàn	to see	to see / to meet / to appear (to be sth) / to interview || to appear / also written 現｜现
Numbers	三	sān	three	surname San || three / 3
Numbers	一	yī	one	one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / 'one' radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit
Numbers	七	qī	seven	seven / 7
Numbers	八	bā	eight	eight / 8
Numbers	十	shí	ten	ten / 10
Numbers	零	líng	zero	zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither
Numbers	元	yuán	Chinese yuan currency unit	surname Yuan / the Yuan or Mongol dynasty (1279-1368) || currency unit (esp. Chinese yuan) / first / original / primary / fundamental / constituent / part / era (of a reign) / meta- (prefix) / (math.) argument / variable / (Tw) (geology) eon
Numbers	五	wǔ	five	five / 5
Numbers	九	jiǔ	nine	nine / 9
Numbers	百	bǎi	one hundred	surname Bai || hundred / numerous / all kinds of
Numbers	二	èr	two	two / 2 / (Beijing dialect) stupid
Numbers	四	sì	four	four / 4
Numbers	六	liù	six	six / 6
Name	叫	jiào	to be called	to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood)
Name	我	wǒ	I	I / me / my
Name	张	zhāng	surname Zhang	surname Zhang || to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes
Name	李	lǐ	surname Li	surname Li || plum
Name	华	huá	given name Huá	abbr. for China || Mt Hua 華山｜华山 in Shaanxi / surname Hua || magnificent / splendid / flowery
Name	明	míng	given name Ming	Ming Dynasty (1368-1644) / surname Ming / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God || bright / opposite: dark 暗 / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods
Name	名字	míng zi	given name	name (of a person or thing) / CL: 個｜个
Name	什么	shén me	what	what? / something / anything
Name	名	míng		name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
Name	字	zì	letter	letter / symbol / character / word / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China
Name	什	shén		what || ten (used in fractions, writing checks etc) / assorted / miscellaneous
Name	么	me		exclamatory final particle || interrogative final particle || suffix, used to form interrogative 甚麼｜什么, what?, indefinite 這麼｜这么 thus, etc
Name	姓	xìng	surname	family name / surname / CL: 個｜个 / to be surnamed
Name	王	wáng	surname Wang	surname Wang || king or monarch / best or strongest of its type / grand / great || to rule / to reign over
Name	呢	ne	question particle	particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?') / particle for inquiring about location ('Where is ...?') / particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?') / (at the end of a declarative sentence) particle indicating continuation of a state or action / particle indicating strong affirmation || woolen material
Greeting 2	很	hěn	very	(adverb of degree) / quite / very / awfully
Greeting 2	高兴	gāo xìng	happy	happy / glad / willing (to do sth) / in a cheerful mood
Greeting 2	高	gāo	tall	surname Gao || high / tall / above average / loud / your (honorific)
Greeting 2	兴	xìng		surname Xing || to rise / to flourish / to become popular / to start / to encourage / to get up / (often used in the negative) to permit or allow (dialect) / maybe (dialect) || feeling or desire to do sth / interest in sth / excitement
Greeting 2	认识	rèn shi	to know	to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition
Greeting 2	也	yě	too	surname Ye || also / too / (in Classical Chinese) final particle implying affirmation
Greeting 2	认	rèn		to recognize / to know / to admit
Greeting 2	识	shí		to know / knowledge / Taiwan pr. [shi4] || to record / to write a footnote
Food 1	吃	chī	to eat	to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer / to stammer (Taiwan pr. for this sense is [ji2])
Food 1	饭	fàn	food	food / cuisine / cooked rice / meal / CL: 碗, 頓｜顿
Food 1	鱼	yú	fish	surname Yu || fish / CL: 條｜条, 尾
Food 1	面	miàn	noodles	face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc || flour / noodles / (of food) soft (not crunchy) / (slang) (of a person) ineffectual / spineless
Food 1	喝	hē	to drink	to drink / My goodness! || to shout loudly
Food 1	水	shuǐ	water	surname Shui || water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes
Food 1	茶	chá	tea	tea / tea plant / CL: 杯, 壺｜壶
Food 1	不	bù	not	(negative prefix) / not / no
Occupation	是	shì	to be	is / are / am / yes / to be
Occupation	他	tā	he	he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another
Occupation	学生	xué sheng	student	student / schoolchild
Occupation	学	xué	to learn	to learn / to study / to imitate / science / -ology
Occupation	生	shēng		to be born / to give birth / life / to grow / raw / uncooked / student
Occupation	吗	ma	question particle for 'yes-no' questions	see 嗎啡｜吗啡, morphine || (question particle for 'yes-no' questions)
Occupation	她	tā	she	she
Occupation	你们	nǐ men	you (plural)	you (plural)
Occupation	我们	wǒ men	we	we / us / ourselves / our
Occupation	他们	tā men	they	they
Occupation	们	men	plural marker for pronouns	plural marker for pronouns, and nouns referring to individuals
Occupation	老师	lǎo shī	teacher	teacher / CL: 個｜个, 位
Occupation	医生	yī shēng	doctor	doctor / CL: 個｜个, 位, 名
Occupation	她们	tā men	they (females)	they / them (for females)
Occupation	老	lǎo		prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough
Occupation	师	shī		surname Shi || teacher / master / expert / model / army division / (old) troops / to dispatch troops
Occupation	医	yī		medical / medicine / doctor / to cure / to treat
Contact	的	de	of	of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis) || see 的士 || really and truly || aim / clear
Contact	电话	diàn huà	telephone	telephone / CL: 部 / phone call / CL: 通 / phone number
Contact	电	diàn	electricity	electric / electricity / electrical
Contact	话	huà	language	dialect / language / spoken words / speech / talk / words / conversation / what sb said / CL: 種｜种, 席, 句, 口, 番
Contact	号码	hào mǎ	number	number / CL: 堆, 個｜个
